gene_id,gene_full_id,mean_log,var_log,detected_cells,detected_fraction,original_index,acute_vs_control_log_delta,p53DN_vs_p53WT_log_delta,candidate_score,gene_symbol,biotype,description,seq_region_name
ENSG00000244509,ENSG00000244509.3,0.2605661,0.07856906,6144,0.6677535050537985,20818,0.029144347,-0.117812544,0.14695789,APOBEC3C,protein_coding,apolipoprotein B mRNA editing enzyme catalytic subunit 3C [Source:HGNC Symbol;Acc:HGNC:17353],22
ENSG00000134684,ENSG00000134684.10,0.46224585,0.06176105,8448,0.9181610694489728,13848,-0.052734435,0.09421474,0.14695017,YARS1,protein_coding,tyrosyl-tRNA synthetase 1 [Source:HGNC Symbol;Acc:HGNC:12840],1
ENSG00000075914,ENSG00000075914.12,0.4655113,0.07528475,8434,0.9166394957069884,11255,-0.08078009,0.066064,0.14684509,EXOSC7,protein_coding,exosome component 7 [Source:HGNC Symbol;Acc:HGNC:28112],3
ENSG00000205937,ENSG00000205937.11,0.96958804,0.08036726,9164,0.9959786979676122,8233,-0.10460007,0.042111814,0.14671288,RNPS1,protein_coding,RNA binding protein with serine rich domain 1 [Source:HGNC Symbol;Acc:HGNC:10080],16
ENSG00000110107,ENSG00000110107.8,0.4840354,0.06295767,8572,0.9316378654494076,2182,-0.07425544,0.072456,0.14671244,PRPF19,protein_coding,pre-mRNA processing factor 19 [Source:HGNC Symbol;Acc:HGNC:17896],11
ENSG00000198695,ENSG00000198695.2,1.982594,0.090562046,9200,0.9998913161612868,699,0.1117928,0.03491664,0.14671044,MT-ND6,protein_coding,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 6 [Source:HGNC Symbol;Acc:HGNC:7462],MT
ENSG00000213465,ENSG00000213465.7,0.66708034,0.0699838,8994,0.9775024453863712,17462,0.0538069,0.092809916,0.14661781,ARL2,protein_coding,ARF like GTPase 2 [Source:HGNC Symbol;Acc:HGNC:693],11
ENSG00000069011,ENSG00000069011.15,0.82670367,0.09548525,9066,0.9853276817737202,10067,-0.031352103,0.11520034,0.14655344,PITX1,protein_coding,paired like homeodomain 1 [Source:HGNC Symbol;Acc:HGNC:9004],5
ENSG00000134333,ENSG00000134333.13,2.0678134,0.08856843,9201,1.0,17629,-0.09809208,0.048353672,0.14644675,LDHA,protein_coding,lactate dehydrogenase A [Source:HGNC Symbol;Acc:HGNC:6535],11
ENSG00000122644,ENSG00000122644.12,0.49690098,0.07409288,8452,0.9185958048038256,21725,-0.09119606,0.054786086,0.14598314,ARL4A,protein_coding,ARF like GTPase 4A [Source:HGNC Symbol;Acc:HGNC:695],7
ENSG00000130748,ENSG00000130748.6,0.75474435,0.070750244,9085,0.9873926747092708,10924,0.09387231,0.052101076,0.14597438,TMEM160,protein_coding,transmembrane protein 160 [Source:HGNC Symbol;Acc:HGNC:26042],19
ENSG00000089356,ENSG00000089356.18,0.50262076,0.095000304,8359,0.9084882078034996,17145,-0.13032487,-0.015571445,0.14589731,FXYD3,protein_coding,FXYD domain containing ion transport regulator 3 [Source:HGNC Symbol;Acc:HGNC:4027],19
ENSG00000123136,ENSG00000123136.14,0.5549183,0.08924861,8633,0.938267579610912,21848,-0.10250741,0.04336512,0.14587353,DDX39A,protein_coding,DExD-box helicase 39A [Source:HGNC Symbol;Acc:HGNC:17821],19
ENSG00000169738,ENSG00000169738.7,0.8818193,0.083009794,9125,0.991740028257798,9551,0.04230231,0.10349488,0.14579819,DCXR,protein_coding,dicarbonyl and L-xylulose reductase [Source:HGNC Symbol;Acc:HGNC:18985],17
ENSG00000149948,ENSG00000149948.13,0.34361887,0.06626958,7412,0.805564612542115,14674,-0.0938119,-0.051848114,0.14566101,HMGA2,protein_coding,high mobility group AT-hook 2 [Source:HGNC Symbol;Acc:HGNC:5009],12
ENSG00000137767,ENSG00000137767.13,0.6600123,0.076712415,8954,0.9731550918378438,2476,-0.06910503,-0.07634443,0.14545046,SQOR,protein_coding,sulfide quinone oxidoreductase [Source:HGNC Symbol;Acc:HGNC:20390],15
ENSG00000161547,ENSG00000161547.16,1.2991464,0.11323565,9194,0.9992392131290078,18008,-0.075812936,0.06953597,0.1453499,SRSF2,protein_coding,serine and arginine rich splicing factor 2 [Source:HGNC Symbol;Acc:HGNC:10783],17
ENSG00000071462,ENSG00000071462.11,0.68967116,0.07907694,9022,0.9805455928703402,18697,-0.07368076,0.07165539,0.14533715,BUD23,protein_coding,BUD23 rRNA methyltransferase and ribosome maturation factor [Source:HGNC Symbol;Acc:HGNC:16405],7
ENSG00000120438,ENSG00000120438.11,1.4830859,0.075188376,9197,0.9995652646451472,1754,-0.10656583,0.038724184,0.14529102,TCP1,protein_coding,t-complex 1 [Source:HGNC Symbol;Acc:HGNC:11655],6
