gene_id	gene_symbol	biotype	description	seq_region_name
ENSG00000214194	SMIM30	protein_coding	small integral membrane protein 30 [Source:HGNC Symbol;Acc:HGNC:48953]	7
ENSG00000175416	CLTB	protein_coding	clathrin light chain B [Source:HGNC Symbol;Acc:HGNC:2091]	5
ENSG00000060339	CCAR1	protein_coding	cell division cycle and apoptosis regulator 1 [Source:HGNC Symbol;Acc:HGNC:24236]	10
ENSG00000111481	COPZ1	protein_coding	coat protein complex I subunit zeta 1 [Source:HGNC Symbol;Acc:HGNC:2243]	12
ENSG00000144746	ARL6IP5	protein_coding	ARF like GTPase 6 interacting protein 5 [Source:HGNC Symbol;Acc:HGNC:16937]	3
ENSG00000160752	FDPS	protein_coding	farnesyl diphosphate synthase [Source:HGNC Symbol;Acc:HGNC:3631]	1
ENSG00000244038	DDOST	protein_coding	dolichyl-diphosphooligosaccharide--protein glycosyltransferase non-catalytic subunit [Source:HGNC Symbol;Acc:HGNC:2728]	1
ENSG00000115756	HPCAL1	protein_coding	hippocalcin like 1 [Source:HGNC Symbol;Acc:HGNC:5145]	2
ENSG00000108848	LUC7L3	protein_coding	LUC7 like 3 pre-mRNA splicing factor [Source:HGNC Symbol;Acc:HGNC:24309]	17
ENSG00000065613	SLK	protein_coding	STE20 like kinase [Source:HGNC Symbol;Acc:HGNC:11088]	10
ENSG00000197858	GPAA1	protein_coding	glycosylphosphatidylinositol anchor attachment 1 [Source:HGNC Symbol;Acc:HGNC:4446]	8
ENSG00000082515	MRPL22	protein_coding	mitochondrial ribosomal protein L22 [Source:HGNC Symbol;Acc:HGNC:14480]	5
ENSG00000168924	LETM1	protein_coding	leucine zipper and EF-hand containing transmembrane protein 1 [Source:HGNC Symbol;Acc:HGNC:6556]	4
ENSG00000164713	BRI3	protein_coding	brain protein I3 [Source:HGNC Symbol;Acc:HGNC:1109]	7
ENSG00000090263	MRPS33	protein_coding	mitochondrial ribosomal protein S33 [Source:HGNC Symbol;Acc:HGNC:16634]	7
ENSG00000099341	PSMD8	protein_coding	proteasome 26S subunit, non-ATPase 8 [Source:HGNC Symbol;Acc:HGNC:9566]	19
ENSG00000122034	GTF3A	protein_coding	general transcription factor IIIA [Source:HGNC Symbol;Acc:HGNC:4662]	13
ENSG00000168118	RAB4A	protein_coding	RAB4A, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9781]	1
ENSG00000188243	COMMD6	protein_coding	COMM domain containing 6 [Source:HGNC Symbol;Acc:HGNC:24015]	13
ENSG00000074696	HACD3	protein_coding	3-hydroxyacyl-CoA dehydratase 3 [Source:HGNC Symbol;Acc:HGNC:24175]	15
